UUID,site_id,comid,lng,lat,model_cfs,model_percentile,model_category,model_trend,model_pct_normal,usgs_cfs
8084000,08084000,,-99.6695326,32.6901186,2.793352895698365,20.0,D1,falling,17.0,0.1
8078000,08078000,,-95.3230476,29.37154349,29.75875803082355,83.3,W1,falling,300.0,568.0
8078000,08078000,,-95.3230476,29.37154349,29.75875803082355,83.3,W1,falling,300.0,293.0
8078000,08078000,,-95.3230476,29.37154349,29.75875803082355,83.3,W1,falling,300.0,409.0
8104900,08104900,,-97.6911204,30.6257499,12.862208597250378,50.0,None,falling,101.9,14.3
8104900,08104900,,-97.6911204,30.6257499,12.862208597250378,50.0,None,falling,101.9,11.0
8104900,08104900,,-97.6911204,30.6257499,12.862208597250378,50.0,None,falling,101.9,12.7
8080700,08080700,,-101.7026748,34.17896048,0.010655919336158422,46.7,None,falling,49.4,0.0
8080505,08080505,,-99.9601361,33.18791667,63.98466847311272,43.3,None,falling,82.4,10.3
8084800,08084800,,-99.642588,32.93094435,2.429071027933174,33.3,None,falling,44.4,0.16
8084800,08084800,,-99.642588,32.93094435,2.429071027933174,33.3,None,falling,44.4,0.08
8084800,08084800,,-99.642588,32.93094435,2.429071027933174,33.3,None,falling,44.4,0.1
810464660,0810464660,,-97.8492222,30.69775,4.923967366583205,33.3,None,falling,34.0,4.19
810464660,0810464660,,-97.8492222,30.69775,4.923967366583205,33.3,None,falling,34.0,2.42
810464660,0810464660,,-97.8492222,30.69775,4.923967366583205,33.3,None,falling,34.0,3.04
8082700,08082700,,-99.4650825,33.32926607,0.34508226926473623,73.3,W0,falling,300.0,0.0
8083235,08083235,,-99.9761861,32.66191944,2.0795225422209045,23.3,D0,falling,20.7,0.0
8083420,08083420,,-99.7492556,32.47540219,0.09413485315923853,23.3,D0,falling,40.5,0.0
8083420,08083420,,-99.7492556,32.47540219,0.09413485315923853,23.3,D0,falling,40.5,0.0
8083420,08083420,,-99.7492556,32.47540219,0.09413485315923853,23.3,D0,falling,40.5,0.0
8076997,08076997,,-95.2974366,29.5968991,14.115552327880488,80.0,W1,falling,300.0,256.0
8076997,08076997,,-95.2974366,29.5968991,14.115552327880488,80.0,W1,falling,300.0,206.0
8076997,08076997,,-95.2974366,29.5968991,14.115552327880488,80.0,W1,falling,300.0,227.0
8083430,08083430,,-99.7410278,32.50730556,0.08316529389414494,3.3,D3,falling,4.6,0.0
8082500,08082500,,-99.2675756,33.58092766,481.54704629251967,56.7,None,falling,115.9,32.3
8083480,08083480,,-99.7145556,32.4866111,0.021883219049639212,10.0,D2,falling,6.3,0.0
8083480,08083480,,-99.7145556,32.4866111,0.021883219049639212,10.0,D2,falling,6.3,0.0
8083480,08083480,,-99.7145556,32.4866111,0.021883219049639212,10.0,D2,falling,6.3,0.0
8084200,08084200,,-99.6056944,32.795,4.132938004150796,23.3,D0,falling,19.1,0.5
